company_name,description,current_stage,partners,founders,sectors,first_partnered_stage,first_partnered_year,first_partnered_date,initial_investment_type,exit_type,exit_description,company_profile_url,company_url,twitter_url,logo_url,image_url,source_url,scraped_at
Decagon,Enterprise AI customer service platform,,Ivan Zhou,Jesse Zhang; Ashwin Sreenivas,,,,,,,,https://www.accel.com/companies/decagon,https://decagon.ai/,https://x.com/DecagonAI,https://cdn.sanity.io/images/458oembh/production/21a704790ea6b86f34e00fecf1b3688c3c3d4ee8-192x31.svg,https://cdn.sanity.io/images/458oembh/production/55c285c92246bb848265bf8f74760dca96e358c2-1280x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
DecisionLink,Customer Value Management (CVM) platform,Early Stage,Sameer Gandhi,Jim Berryhill; Tim Page (CEO); John Porter,,Early Stage,2020,2020,series-a,Acquired,by XFactor.io,https://www.accel.com/companies/decisionlink,https://www.decisionlink.com/,,https://cdn.sanity.io/images/458oembh/production/7cc71ef6e6a1fdf4758223065d1431c518d191ca-480x120.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Deep Rooted,Demand-backed supply chain for perishables,Early Stage,Prashanth Prakash,Arvind M; Avinash B R; Gururaj S Rao; Santhosh Narasipura,,Early Stage,2018,2018,seed,,,https://www.accel.com/companies/deep-rooted,http://www.clover.ag/,https://twitter.com/cloverventures,https://cdn.sanity.io/images/458oembh/production/086555f47a0a95827b6bfbdf6eee965cce6b9f9e-1950x1121.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
DeepMap,HD mapping and localization,Early Stage,Vas Natarajan,James Wu; Mark Wheeler,,Early Stage,2017,2017,series-a,Acquired,by NVIDIA,https://www.accel.com/companies/deepmap,http://www.deepmap.ai,https://twitter.com/deepmapinc,https://cdn.sanity.io/images/458oembh/production/35294758386f6d724822db41c4062d5a57c7e598-780x130.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Deepnote,Data science notebook for teams,Early Stage,Vas Natarajan,Jakub Jurových; Jan Matas; Fillip Stollár,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/deepnote,http://www.deepnote.com,https://twitter.com/deepnotehq,https://cdn.sanity.io/images/458oembh/production/a5575238bc87f589877eb97b608b82dc2a47d718-695x120.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Delightree,Workflow app for franchise businesses,Early Stage,Dinesh Katiyar,Madhulika Mukherjee; Tushar Mishra,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/delightree,https://www.delightree.com/,https://twitter.com/delightreeHQ,https://cdn.sanity.io/images/458oembh/production/294f4d45dfc2e944b9de51fcc56be0ddc2ed0fe8-882x196.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Deliveroo,Food delivery platform,,Harry Nelis,Will Shu; Greg Orlowski,,,2014,2014,,IPO,LON: ROO,https://www.accel.com/companies/deliveroo,http://www.deliveroo.co.uk,https://twitter.com/Deliveroo,https://cdn.sanity.io/images/458oembh/production/92b3d0c31d1e1fcb9a38f3014291f92f8917a97b-452x120.svg,https://cdn.sanity.io/images/458oembh/production/d44d903a9d393effb1f06aea8cee158cf6582d17-1600x1600.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Demisto,Automated incident response platform for security operations,Early Stage,Ping Li,Rishi Bhargava; Slavik Markovich; Guy Rinat; Dan Sarel,,Early Stage,2015,2015,series-a,Acquired,by Palo Alto Networks,https://www.accel.com/companies/demisto,http://www.demisto.com,https://twitter.com/demistoinc,https://cdn.sanity.io/images/458oembh/production/aeb8b5b4241a6bbb7fb916e6026498c71b09164e-722x110.svg,https://cdn.sanity.io/images/458oembh/production/0a5b9c72efc0aa604326da2044b1fb64c771bc13-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Deserve,Mobile-first credit card platform,Early Stage,Sameer Gandhi,Kalpesh Kapadia,,Early Stage,2015,2015,series-a,,,https://www.accel.com/companies/deserve,http://www.deserve.com,https://twitter.com/DeserveCards,https://cdn.sanity.io/images/458oembh/production/fc374cd30f7b81c3906f95c8fdf7635434f7b6d8-971x181.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Despegar,Online travel agency,Early Stage,Kevin Efrusy,Damien Scokin (CEO); Roberto Souviron; Martín Rastellino; Mariano Fiori; Cristian Vilate; Alejandro Tamer,,Early Stage,2012,2012,series-a,IPO,NYSE: DESP,https://www.accel.com/companies/despegar,http://www.despegar.com,https://twitter.com/DespegarUsa,https://cdn.sanity.io/images/458oembh/production/fd60ad44560cb2d7401b93e1f4347b069394efec-518x112.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Detect,Digital technologies for the industrial ecosystem,Early Stage,Barath Shankar Subramanian,Daniel Raj David; Krishnan Balasubramaniam; Karthik Rajasekaran; Harikrishnan A.S,,Early Stage,2021,2021,series-a,,,https://www.accel.com/companies/detect,https://detecttechnologies.com/,,https://cdn.sanity.io/images/458oembh/production/b9dbc420cd4c75a305aba7ac176a862fa5175ebc-924x563.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Dezerv,Investment advisory and portfolio management platform,Early Stage,Abhinav Chaturvedi,Sahil Contractor; Sandeep Jethwani; Vaibhav Porwal,,Early Stage,2022,2022,series-a,,,https://www.accel.com/companies/dezerv,https://www.dezerv.in/,https://twitter.com/dezervHQ?s=09,https://cdn.sanity.io/images/458oembh/production/bd72364d8873332309a78161a372964a090f5f80-96x16.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Diapers.com,eCommerce store for all things baby,,Sameer Gandhi,Marc Lore,,,2008,2008,,Acquired,by Amazon,https://www.accel.com/companies/diapers-com,http://www.diapers.com,,https://cdn.sanity.io/images/458oembh/production/25d14b16e5b94b392b47ee5945645a9fd1123109-689x213.svg,https://cdn.sanity.io/images/458oembh/production/b4d46096b6b31ac4f624b9312602e2d46dd47e64-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Digbi Health,Digital health company focused on inflammatory digestive disorders,Early Stage,Anand Daniel,Ranjan Sinha,,Early Stage,2021,2021,series-a,,,https://www.accel.com/companies/digbi-health,https://digbihealth.com/,,https://cdn.sanity.io/images/458oembh/production/cd4f57f10b8d40109ed9d4e3cb08058f17552bae-783x460.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Discord,Online communication platform designed for creating communities,Early Stage,Sameer Gandhi,Jason Citron; Stanislav Vishnevskiy,,Early Stage,2012,2012,seed,,,https://www.accel.com/companies/discord,https://discord.com/,https://twitter.com/discord,https://cdn.sanity.io/images/458oembh/production/c1f62c7d3728d2ea2240746a1a83d67d3d8bc3ba-124x34.svg,https://cdn.sanity.io/images/458oembh/production/2f281224c0553e899863aa846e3f95c791802ffa-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Doctolib,Digital health platform,Early Stage,Philippe Botteri,Stanislas Niox-Chateau; Thomas Landais; Ivan Schneider; Franck Tetzlaff; Steve Abou rjeily; Jessy Bernal,,Early Stage,2015,2015,,,,https://www.accel.com/companies/doctolib,http://www.doctolib.fr,https://twitter.com/Doctolib,https://cdn.sanity.io/images/458oembh/production/b42c595529a6a66bc1041aad7a9b7d1887732e86-343x83.svg,https://cdn.sanity.io/images/458oembh/production/1f7307ff150534dde8629e13cb1d0a2ada5636b8-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Doctor Droid,Product troubleshooting and debugging platform,Early Stage,Prayank Swaroop,Siddarth Jain; Dipesh Mittal,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/doctor-droid,https://drdroid.io/,https://x.com/drdroiddev,https://cdn.sanity.io/images/458oembh/production/5e172cef285ec81634fbabab78f079a95b208910-2389x681.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
DocuSign,Electronic signature platform for small- and mid-sized businesses,Early Stage,Philippe Botteri,Dan Springer (CEO); Tom Gonser; Eric Ranft; Court Lorenzini,,Early Stage,2012,2012,,IPO,NASDAQ: DOCU,https://www.accel.com/companies/docusign,http://www.docusign.com,https://twitter.com/DocuSign,https://cdn.sanity.io/images/458oembh/production/f232b3ffa739fc2110f087c3f5793403e76f3d86-1169x241.svg,https://cdn.sanity.io/images/458oembh/production/8f91d6c3ca3c1df85b4522930ac61315c0369be4-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Donut,A software tool that helping others connect virtually,Early Stage,Sameer Gandhi,Dan Manian,,Early Stage,2018,2018,seed,,,https://www.accel.com/companies/donut,https://www.donut.com/remote-connections/,,https://cdn.sanity.io/images/458oembh/production/9e1bcdcbbbee69b960158901398e986474c322a6-872x267.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Dovetail,Cloud-based user research and customer feedback software,Early Stage,Arun Mathew; Rich Wong,Benjamin Humphrey; Bradley Ayers,,Early Stage,2021,2021,series-a,,,https://www.accel.com/companies/dovetail,https://dovetailapp.com/,,https://cdn.sanity.io/images/458oembh/production/052f9f0f9197aeeba371d908f485a5e39745a81b-671x180.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Drip Capital,Trade financing platform,Early Stage,Abhinav Chaturvedi,Neil Kothari; Pushkar Mukewar,,Early Stage,2017,2017,seed,,,https://www.accel.com/companies/drip-capital,http://www.dripcapital.com,https://twitter.com/dripcapital_inc,https://cdn.sanity.io/images/458oembh/production/588c138fedaf5697335bad3ddc2e79795417927b-879x293.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
DriveWealth,API-driven brokerage infrastructure ‍,Late Stage,Matt Weigand,Robert S. Cortright,,Late Stage,2021,2021,,,,https://www.accel.com/companies/drivewealth,https://drivewealth.com/,,https://cdn.sanity.io/images/458oembh/production/ad12b2e135c26ec4e10afe354d168760a8f05667-192x24.svg,https://cdn.sanity.io/images/458oembh/production/8ed98203b719377680e195fcfbf47e44ff9d6f3d-1000x1320.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Dropbox,"Content storage, sharing, and collaboration service for businesses and consumers‍",Early Stage,Sameer Gandhi,Drew Houston; Arash Ferdowsi,,Early Stage,2008,2008,series-a,IPO,NASDAQ: DBX,https://www.accel.com/companies/dropbox,http://www.dropbox.com,https://twitter.com/Dropbox,https://cdn.sanity.io/images/458oembh/production/6bb082ee0454b2a1a2bdbfa02c0c16722264e5c9-3792x748.svg,https://cdn.sanity.io/images/458oembh/production/4576245f63728cdc788b8baa2d4ea97042241d5d-1800x1200.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Dropcam,Wireless video camera and cloud recording service‍,Early Stage,Sameer Gandhi,Greg Duffy; Aamir Virani,,Early Stage,2010,2010,series-a,Acquired,by Nest (Google),https://www.accel.com/companies/dropcam,http://www.dropcam.com,https://twitter.com/madebygoogle,https://cdn.sanity.io/images/458oembh/production/b2ced2cde51fd3bc08cd2a48168035302d5cc976-731x143.svg,https://cdn.sanity.io/images/458oembh/production/43498cdb33b3006061caf80b1f1d6cf44a5358bf-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Duetto,"Cloud, SAAS, and revenue management systems for hospitality",,Andrew Braccia,David Woolenberg (CEO); Patrick Bosworth; Marco Benvenuti,,,2014,2014,,Acquired,by GrowthCurve Capital,https://www.accel.com/companies/duetto,http://www.duettocloud.com,https://twitter.com/duettocloud,https://cdn.sanity.io/images/458oembh/production/1553634911b2345d0d3c894756bdd6441d732801-189x37.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
E8 Storage Systems,Rack-scale flash storage for enterprises,,Kevin Comolli,Ziv Serlin; Alex Friedman; Zivan Ori,,,2016,2016,,Acquired,by Amazon,https://www.accel.com/companies/e8-storage-systems,,,https://cdn.sanity.io/images/458oembh/production/065d320fc62799b7bcef534ecb1d12a896f47e27-2819x684.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Eagle Eye Networks,Cloud video surveillance,Late Stage,Sameer Gandhi,Dean Drako,,Late Stage,2020,2020,,,,https://www.accel.com/companies/eagle-eye-networks,http://www.een.com/,,https://cdn.sanity.io/images/458oembh/production/79033b1bcc75d03863fc454a8b0b3bfa404b3139-483x161.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ecosoul,Bio-based and organic home items,Early Stage,Prashanth Prakash,Arvind Ganesan; Rahul Singh,,Early Stage,2022,2022,series-a,,,https://www.accel.com/companies/ecosoul,https://www.ecosoulhome.com/,,https://cdn.sanity.io/images/458oembh/production/9f9b665297eb0df770466198d8480618af3a6945-1733x351.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Eder Labs,AI adoption solutions for data privacy,Early Stage,Dinesh Katiyar,Sharat Satyanarayana; Utkarsh Saxena; Vishwajit Sasi,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/eder-labs,https://www.eder.io/,,https://cdn.sanity.io/images/458oembh/production/1fa34d5443dab5d8a877a3817ccb6d51bcc7bc9a-1939x455.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
EdgeDB,Open-source graph-relational database,Early Stage,Daniel Levine,Elvis Pranskevichus; Yury Selivanov,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/edgedb,https://www.edgedb.com/,,https://cdn.sanity.io/images/458oembh/production/e5762be371a8e95176fea2d9a98b6df81bf9d441-88x26.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
EduPristine,Classroom and online training for certifications.,Early Stage,Anand Daniel,Atul kumar; Paramdeep Singh; Pawan Prabhat; Sarita Chand,,Early Stage,2011,2011,seed,Acquired,by DeVry,https://www.accel.com/companies/edupristine,http://www.edupristine.com/,https://twitter.com/edupristine,https://cdn.sanity.io/images/458oembh/production/483b12fbf8bcf0ec797386c50edb429e8acea2c1-342x36.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Effectiv,Fraud detection platform for financial institutions,Early Stage,Dinesh Katiyar,Anupam Tarsauliya; Jonathan Doering; Ravi Sandepudi; Ritesh Arora,,Early Stage,2023,2023,seed,Acquired,by Socure,https://www.accel.com/companies/effectiv,https://effectiv.ai/,,https://cdn.sanity.io/images/458oembh/production/67f2eb6cc3778c2258d827c229ec4f038824e74a-2026x513.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Elements,Mexico-US consumer wallet,Early Stage,Rich Wong,Diana Corona; Nafis Jamal,,Early Stage,2020,2020,series-a,Acquired,by Circle,https://www.accel.com/companies/elements,http://www.elements.io,,https://cdn.sanity.io/images/458oembh/production/7d3776746fdbbb5ac487ae41daac4b02206f6b14-1599x337.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ema,GenAI workflow engine,Early Stage,Subrata Mitra,Surojit Chatterjee; ‍,,Early Stage,,,seed,,,https://www.accel.com/companies/ema,https://ema.co,,https://cdn.sanity.io/images/458oembh/production/572cf6a838062b1c2ccf84e2351d54e8cb5d61e9-113x36.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Emeritus,Global provider of online learning solutions,Late Stage,Anand Daniel,Ashwin Damera; Chaitanya Kalipatnapu,,Late Stage,2021,2021,,,,https://www.accel.com/companies/emeritus,https://emeritus.org/,,https://cdn.sanity.io/images/458oembh/production/13fe17bfdd373f43deab55b7cfc7c5615fb4c2ca-1126x313.svg,https://cdn.sanity.io/images/458oembh/production/9bc3981ea3cc0dfdac1581b817981e11a3ca0e6c-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Entytle,Single source of truth for Installed Base data,Early Stage,Dinesh Katiyar,Vivek Joshi; Sujata Joshi,,Early Stage,2016,2016,series-a,,,https://www.accel.com/companies/entytle,http://www.entytle.com,https://twitter.com/entytle,https://cdn.sanity.io/images/458oembh/production/96b3f962f1bd5bd3ffbcab64f4d80b092250426d-406x103.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ermetic,Exposure management platform to understand and reduce cyber risk,Early Stage,Andrei Brasoveanu,Shai Morag; Arick Goomanovsky; Sivan Krigsman; Michael Dolinsky,,Early Stage,2020,2020,series-a,Acquired,by Tenable,https://www.accel.com/companies/ermetic,https://ermetic.com/,https://twitter.com/ermeticsec,https://cdn.sanity.io/images/458oembh/production/fb5ff200ea011e764431d7af143c675e6559933f-356x104.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Ethos,"Flexible, hassle-free life insurance",Late Stage,Nate Niparko,Peter Colis; Lingke Wang,,Late Stage,2018,2018,,IPO,NYSE: LIFE,https://www.accel.com/companies/ethos,http://www.getethos.com,https://twitter.com/getEthoslife,https://cdn.sanity.io/images/458oembh/production/b343ef318d4718f43252e04f08e0a5ef8ad7404c-437x81.svg,https://cdn.sanity.io/images/458oembh/production/384e972f61e98cd0a4f00c881585e53d74f5a507-4608x3072.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Etsy,E-commerce platform for buying and selling vintage and handmade goods,,Andrew Braccia; Kevin Comolli,Kruti Patel Goyal (CEO); Dev Tandon; Haim Schoppik; Jared Tarbell; Robert Kalin; Chris Maguire,,,2008,2008,,IPO,NASDAQ: ETSY,https://www.accel.com/companies/etsy,http://www.etsy.com,https://twitter.com/etsy,https://cdn.sanity.io/images/458oembh/production/e2a87dc0f631026ca8e766d30a38a917b290787d-336x166.svg,https://cdn.sanity.io/images/458oembh/production/b9c8efb3df698f6b1e34a8f2658926c28bde5b7b-1200x1800.webp,https://www.accel.com/companies,2026-05-29T18:35:24Z
FRVR,Ecosystem that connects players to games ‍,Early Stage,Martin Gibson,Brian Meidell; Chris Benjaminsen,,Early Stage,2017,2017,seed,,,https://www.accel.com/companies/frvr,https://frvr.com/,https://twitter.com/frvrgames,https://cdn.sanity.io/images/458oembh/production/b44a22954465b626366dd073192719421129ef7d-176x40.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
FabHotels,Digitally-native budget hotel chain,Early Stage,Prashanth Prakash,Vaibhav Aggarwal; Adarsh Manpuria,,Early Stage,2015,2015,series-a,,,https://www.accel.com/companies/fabhotels,http://www.fabhotels.com,https://twitter.com/fabhotels,https://cdn.sanity.io/images/458oembh/production/834a8395112bd81c805a28c205e141b7532f014f-1520x220.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fabheads,composite product fabrication solutions,Early Stage,Prayank Swaroop,Dhinesh Kanagaraj; Abhijeet Rathore,,Early Stage,2025,2025,series-a,,,https://www.accel.com/companies/fabheads,https://fabheads.com/,https://twitter.com/fabheads,https://cdn.sanity.io/images/458oembh/production/48713e8a26f48ff0adab3ef4d139badb9b9030ce-2000x634.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Facebook,Social networking platform connecting friends and family,Early Stage,Kevin Efrusy,Mark Zuckerberg,,Early Stage,2005,2005,series-a,IPO,NASDAQ: FB,https://www.accel.com/companies/facebook,http://www.facebook.com,https://twitter.com/facebook,https://cdn.sanity.io/images/458oembh/production/92873fd81bd73089f798cf4a189bf73f203586b4-512x56.svg,https://cdn.sanity.io/images/458oembh/production/018863b5e3564d56a34902ccb5bea40b3666abb5-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Facet,Collaborative AI image generator,Early Stage,Vas Natarajan,Joe Reisinger; Matt Stanton,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/facet,http://www.facet.ai,https://twitter.com/facet_ai,https://cdn.sanity.io/images/458oembh/production/8d820a1437ade71955633af0742cde2a6c648710-65x15.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Facilio,"Cloud-driven management software for ops, management, and sustainability",Early Stage,Shekhar Kirani,Prabhu Ramachandran; Krishnamoorthi Rangasamy; Yogendra Babu; Rajavel Subramanian; Suresh Babu Subramanian,,Early Stage,2017,2017,seed,,,https://www.accel.com/companies/facilio,http://www.facilio.com,https://twitter.com/FacilioInc,https://cdn.sanity.io/images/458oembh/production/b0132a47dd8ed695679aa2f668defe99c49daf99-880x232.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
FalconX,Institutional crypto trading platform,Early Stage,Shekhar Kirani,Raghu Yarlagadda; Prabhakar Reddy,,Early Stage,2019,2019,seed,,,https://www.accel.com/companies/falconx,http://www.falconx.io,https://twitter.com/falconxnetwork,https://cdn.sanity.io/images/458oembh/production/a08b11ce8d4d13cc445aa50e6331decb95d11401-1272x154.svg,https://cdn.sanity.io/images/458oembh/production/02c68c38a14315a2fe946523ee7a408b4afef6b3-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Farcast Biosciences,Clinical diagnostic services for personalized cancer treatment,,Mahendran Balachandran,Maneesh Arora (CEO); Mallik Sundaram; Pradip Majumder,,,,,,,,https://www.accel.com/companies/farcast-biosciences,http://www.farcastbio.com,,https://cdn.sanity.io/images/458oembh/production/d7363c7bc6982559d681b90e343287c8f7b7de59-1495x366.jpg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fashinza,Trend forecasting and sourcing marketplace for fashion brands and retailers,Early Stage,Pratik Agarwal; Prayank Swaroop,Abhishek Sharma; Pawan Gupta,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/fashinza,http://www.Fashinza.com,,https://cdn.sanity.io/images/458oembh/production/6e0b70d411f42aebeb1f33c078a3d83eda6ae893-172x48.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fever,Event discovery and ticket purchasing platform,Early Stage,Martin Gibson,Ignacio Bachiller; Alexandre Perez; Francisco Hein; Pep Gomez,,Early Stage,2014,2014,series-a,,,https://www.accel.com/companies/fever,http://www.feverup.com,https://twitter.com/fever_US,https://cdn.sanity.io/images/458oembh/production/68358b835b19a66f3a640cc69fdb613f95f72d99-230x70.svg,https://cdn.sanity.io/images/458oembh/production/2803e5aa86749231ee607a2153838e0481e49333-720x721.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fibmold,Eco-friendly packaging products,Early Stage,Prashanth Prakash,Param Gandhi; Vaibhav Garg,,Early Stage,2023,2023,seed,,,https://www.accel.com/companies/fibmold,http://www.fibmold.com,,https://cdn.sanity.io/images/458oembh/production/dc0d0d16c8be3844263ce35b5560e424e13e3f16-1148x229.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fibr,AI-powered personalization platform,,Prayank Swaroop,Ankur Goyal; Pritam Roy,,,,,,,,https://www.accel.com/companies/fibr,https://fibr.ai/,https://x.com/fibr_ai,https://cdn.sanity.io/images/458oembh/production/af4c4818d370d7b44efee920790342ced003183e-374x87.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fictiv,Simplifies sourcing for custom manufacturing,Early Stage,Sameer Gandhi,Dave Evans; Nathan Evans,,Early Stage,2015,2015,seed,Acquired,by MISUMI,https://www.accel.com/companies/fictiv,http://www.fictiv.com,https://twitter.com/fictiv,https://cdn.sanity.io/images/458oembh/production/0a5179e907351756321c5968b06071b5abe2afe9-897x296.svg,https://cdn.sanity.io/images/458oembh/production/e28442656bf621ee1be92f41702321973659b672-720x720.jpg,https://www.accel.com/companies,2026-05-29T18:35:24Z
Filigran,Open source cyber threat intelligence platform,Early Stage,Andrei Brasoveanu,Samuel Hassine; Julien Richard,,Early Stage,2024,2024,series-a,,,https://www.accel.com/companies/filigran,https://filigran.io/,,https://cdn.sanity.io/images/458oembh/production/8434bbfe909b21297846848bae8c1421c7200d6b-776x195.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fin,Continuous operations insight platform,Early Stage,Sameer Gandhi,Andrew Kortina; Sam Lessin,,Early Stage,2015,2015,seed,,,https://www.accel.com/companies/fin,http://www.fin.com,https://twitter.com/finexploration,https://cdn.sanity.io/images/458oembh/production/5735027d4788893141c2cf153edc4ec55ba6f654-385x193.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Finaloop,"The leading automated e-commerce bookkeeping platform providing flawless, tax-ready financials and actionable insights 24/7",,Carlo Biggio,Eliran Azulai; Lioran Pinchevski; Omri Haim; Yaron Revah,,,,,,,,https://www.accel.com/companies/finaloop,https://www.finaloop.com/,,https://cdn.sanity.io/images/458oembh/production/82177c2b44d8d13628ca874b9e9642708576a452-148x49.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Finbots.AI,AI-enabled banking platform,Early Stage,Mahendran Balachandran,Sanjay Uppal; Shripad Keni,,Early Stage,2022,2022,series-a,,,https://www.accel.com/companies/finbots-ai,https://finbots.ai/,https://mobile.twitter.com/finbotsai,https://cdn.sanity.io/images/458oembh/production/af21766f5a8b32b0b7d4fd320b6df9204e73aff3-1857x275.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Finrep,AI-copilot in financial reporting,Early Stage,Shekhar Kirani,Gananath Misra,,Early Stage,2024,2024,seed,,,https://www.accel.com/companies/finrep,https://finrep.ai/,https://x.com/FinrepAI,https://cdn.sanity.io/images/458oembh/production/c19f527f81e0cc227a0282b53d8316d2d52554d4-1840x670.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
FitOn,Fitness mobile platform and community,Early Stage,Amit Kumar,Lindsay Cook; Russell Cook,,Early Stage,2018,2018,seed,,,https://www.accel.com/companies/fiton,https://fitonapp.com/,,https://cdn.sanity.io/images/458oembh/production/fa9ae5c505f35a404de792084fec50f542bac54c-1599x230.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Fiverr,Marketplace for freelance creative and professional services NYSE: FVRR,Early Stage,Philippe Botteri,Micha Kaufman; Shai Wininger,,Early Stage,2014,2014,,IPO,NYSE: FVRR,https://www.accel.com/companies/fiverr,http://www.fiverr.com,https://twitter.com/fiverr,https://cdn.sanity.io/images/458oembh/production/52a64e0102e24019210047526b139f4be636519b-2229x676.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Flink,Digital neobank and brokerage for Latin America,Early Stage,Andrew Braccia,Sergio Jimenez; Rafael Bueno,,Early Stage,2020,2020,series-a,Acquired,by WeBull,https://www.accel.com/companies/flink,https://miflink.com/,,https://cdn.sanity.io/images/458oembh/production/bb064e574c17945658d2163d2825427bd6fe74e9-84x31.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Flint,"Native, generative AI for marketers",Early Stage,Daniel Levine,Michelle Lim; Max Levenson,,Early Stage,2025,2025,seed,,,https://www.accel.com/companies/flint,https://www.tryflint.com/,https://x.com/tryflintai,https://cdn.sanity.io/images/458oembh/production/fa7eaaa001d4a7bb182a1cf4073c4ba9c6c67245-2103x617.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
Flipkart,E-commerce marketplace,Early Stage,Subrata Mitra; Sameer Gandhi,Binny Bansal; Sachin Bansal; Kalyan Krishnamurthy (CEO since 2017),,Early Stage,2008,2008,seed,Acquired,by Walmart,https://www.accel.com/companies/flipkart,http://www.flipkart.com,https://twitter.com/flipkart,https://cdn.sanity.io/images/458oembh/production/ea604caa57d768177d2c55a88d7c2b4b2da48f65-100x28.svg,https://cdn.sanity.io/images/458oembh/production/cc0d9f41c84175bea52994137f69a2c958382390-720x720.heif,https://www.accel.com/companies,2026-05-29T18:35:24Z
Flipturn,Electric vehicle charging management platform,Early Stage,Daniel Levine,Katie Siegel; Sashko Stubailo,,Early Stage,2022,2022,seed,,,https://www.accel.com/companies/flipturn,http://www.getflipturn.com,,https://cdn.sanity.io/images/458oembh/production/b519da3172fed79a5d2fb00a2ccf0b1eca12eed6-4580x560.png,,https://www.accel.com/companies,2026-05-29T18:35:24Z
FlyFin,AI and CPA tax filing service,Early Stage,Subrata Mitra,Jaideep Singh; Sachin Rajendra,,Early Stage,2020,2020,seed,,,https://www.accel.com/companies/flyfin,https://flyfin.tax/,,https://cdn.sanity.io/images/458oembh/production/75a849ac1f5dd87ccb87564f3fbb89d082207fd8-111x20.svg,,https://www.accel.com/companies,2026-05-29T18:35:24Z
