company_name,description,founders,founder_titles,fund,location,announcement_text,announcement_urls,company_profile_url,company_url,why_we_invested_url,founder_image_urls,source_url,scraped_at
Almanac Engineering,Your all-in-one 24/7 automated 3D printing factory.,Michael McNabb; Alec Soronow,CEO; CTO,Pre-Seed,San Francisco,,,,https://www.almanacengineering.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6941772d3e2502cf0e9544a3_Almanac%20Michael.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/694177414d4ecfb6d1e7162f_Almanac%20Alec.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Broome,The agentic AI platform for commercial real estate,Ziggy Hallgarten; Alexander Spivak; Alec Costanza,CEO; CTO; Co-Founder,Pre-seed,New York,,,,https://broome.ai,https://www.2048.vc/blog/our-investment-in-broome-ai,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69973c6ed269742dba6893df_Ziggy.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69973cefe6c7dbf04e50d171_Alex.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69973ca6f244ed20c87f0ea4_Alec.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Union Specialty,AI native wholesale platform for specialty insurance,Lukas Salomon,CEO,Pre-seed,New York,,,,https://unionspecialty.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69973e53dfa39c4f67d5fdd6_Lukas.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Actor,Deploying general robot models into the real world,Lane Burgett; Shashi Shekhar Verma,CEO; CTO,Pre-seed,San Francisco,,,,https://labs.actor/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69ca64e20688a55b43beea2b_Lane.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69ca650befab31aa5cc01d2c_Shashi.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Zeroset,Self-improving memory layer for autonomous agents,Akshat Kannan; William Zhang,Co-Founder & CEO; Co-Founder,Seed,San Francisco,,,,https://trynebula.ai/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69fb463689ecbd0797795071_Akshat.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/69fb464c907af7ca7c2db798_William.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Rely Intelligence,Institutional-grade diligence automation for multifamily,George Matelich; David LoBosco,CEO & Co-Founder; CTO & Co-Founder,Seed,Other,,,,https://www.tryrely.ai/,https://www.2048.vc/blog/our-investment-in-rely-intelligence,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a0b24a36c85ea5a826acbd7_GM.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a0b24c36229284cb9c4e212_DL.jpeg,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Peri,AI-Powered Work Profiles + Agents Representing You in the Workplace,Miles Judd Porter; Dan Porter; Agatha Advincula,CEO & Co-Founder; Co-Founder,Seed,New York,,,,https://www.peri.so/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a3402f6f2f9c15217d3a239_MJP.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a34030c3ed0ef39b1a20613_DP.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a34033208ded85d3a37276a_AA.jpeg,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Immunara,Frontier AI for Immunology,"Zain Khan, MD; Niket Rajeevan",CEO; CTO,Seed,San Francisco,,,,http://immunara.ai/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a3ec8ef949ac4caf90b9992_Z.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6a3ec8f31ca80e27e85e100e_NR1.jpeg,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Ettos,The e-commerce platform for beauty products in Latam.,Andrés Arango Mesa; Isabel Arango Mesa; Clara Isabel Arango Ruiz,CEO; CTO; CGO,Pre-Seed,Latam,,,,https://ettos.co/,https://www.2048.vc/blog/ettos,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c5016dd22c7fe1ea1020_Ettos%20Andres.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c51455584530db6fb9d1_Ettos%20Isabel.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c52c328150cd0ea2434d_Ettos%20Clara.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
BioBox Analytics,Software that creates a GPS for drug target discovery from customers’ data.,Christopher Li; Julian Mazzitelli; Hamza Farooq,CEO; CTO; CIO,Pre-Seed,Toronto,,,,https://biobox.io/,https://2048-ventures-7465.webflow.io/blog/our-investment-in-biobox,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee5aefc3ed81246c84386_c21360f4.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee5c3ec56b05fbc49ddaa_b3addacc.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee5d4b14218904205f7e3_b3b2aeb9.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Inso Bio,"Next-generation, automated sample prep, starting with HMW DNA.",Harvey Tian; Adam Bisogni,CEO; CSO,Pre-Seed,New York,,,,https://inso.bio/,https://www.2048.vc/blog/our-investment-in-inso-biosciences,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c597cdbb563f7fbebffb_Inso%20Bio%20Harvey.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6238c5b4ca6219004b09e2ae_Inso%20Bio%20Adam.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Impacked,Marketplace for CPG primary packaging.,Lisa-Marie Assenza,CEO,Seed,New York,Impacked raises $2.5 million Seed led by TenOneTen Ventures ‍,https://techcrunch.com/2022/11/15/impacked-seed/,,https://www.impackedpackaging.com/,https://2048-ventures-7465.webflow.io/blog/our-investment-in-impacked,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed53af2dd5c4ce784613c_6450da65.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Macroverse Media,"A platform to create and consume digital comics and graphic novels, with a longer-term vision for a multi-channel media platform.",Eben Matthews; Adam Martin; Ricci Rukavina,CEO; Co-Founder,Pre-Seed,Los Angeles,,,,https://www.macroverse.media,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee249702245205a47bf09_c0253fa2.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee249702245bbf447bf13_3376708c.jpeg; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24970224508dc47bf08_61d3bd92.jpeg,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Tangram,Software for Automatic Calibration in Robotics.,Brandon Minor,CEO,Seed +,Denver,,,,https://www.tangramvision.com/,https://2048-ventures-7465.webflow.io/blog/our-investment-in-tangram-vision,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6202875d1864f23632750cf6_Tangram%20Brandon%20(1).avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Kanary,Monitoring app for privacy protection and personal information on the internet.,Rachel Vrabec,CEO,Pre-Seed,Chicago,,,,https://www.thekanary.com/,https://www.2048.vc/blog/our-investment-in-kanary,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aed53bd211ad615612e4ea_66368c21.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
CoolR Group,Full out-of-the-box solution for brands and retailers to track assets (coolers and shelves).,Roy Mehta; Durlabh Jain,CEO; CTO,Seed,New York,,,,https://www.coolrgroup.com,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedef7db259864f68dae09_86b09bda.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aedef7db2598ef218dae08_42e83232.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Adaptis Technologies,Circularity and carbon footprint optimization platform for buildings.,Sheida Shahi; Aida Mollaei,CEO; CTO,Seed,Toronto,,,,https://adaptis.ca/,https://www.2048.vc/blog/our-investment-in-adaptis,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/634ed532b4ffd42fe72ecf19_Adaptis%20Sheida.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/634ed55530de1668c4a3ed0b_Adaptis%20Aida.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
FemTherapeutics,Adjustable OTC gynecological prosthetics.,Inara Lalani; Negin Ashouri,Co-Founder,Seed,Montreal,,,,https://femtherapeutics.com/,https://www.2048.vc/blog/our-investment-in-femtherapeutics,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/640a21423a5b1d9ba0340e7f_FemThera%20Inara.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/640a211c306dade634fbf2f2_FemThera%20Negin.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Caravel Bio,Engineered enzyme and protein carriers.,Trevor Nicks,CEO,Pre-Seed,Portland,,,,https://www.caravel.bio/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/682b4a2ba756e5c02293b2c1_Trevor.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
KiraGen Bio,Multiplex edited CAR-T cell therapies for solid tumors.,Aaron Edwards; Ryan Murray,CEO; CSO,Pre-Seed,Boston,,,,https://kiragenbio.com/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6566266868b156f128c804d6_KiraGen%20Aaron.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6566267d12bee7f8ae96cb7e_KiraGen%20Ryan.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Neobe Therapeutics,Live biotherapeutics that disrupt solid tumors and enhance immunotherapy success.,Pedro Correa de Sampaio; Annelise Soulier,CEO; CSO,Seed,London,,,,https://www.neobetherapeutics.com/,https://www.2048.vc/blog/our-investment-in-neobe,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6595bf0429387bbce0b17a58_Neobe%20Pedro.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6595bf4f0681511c954be6a1_Neobe%20Annelise.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Ripple AI,AI-powered email marketing for ecommerce brands.,Rohan Seth; Peter Lopez,CEO; COO,Pre-Seed,New York,,,,https://getripple.ai/,https://www.2048.vc/blog/our-investment-in-ripple,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65d8cb350f64bcaa94bee8b1_Ripple%20Rohan.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68782780499203af6c857298_Ripple%20Peter.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Tetsuwan Scientific,Autonomous platforms for life sciences research.,Cristian Ponce; Théo Schäfer,CEO; CTO,Pre-Seed,Bay Area,,,,https://tetsuwan.com/,https://www.2048.vc/blog/our-investment-in-tetsuwan-scientific,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6650ec0df866d218d9e95e21_Tetsuone%20Cristian.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6650ec256d343e3281d6bbcb_Tetsuone%20Theo.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Variant AI,The First Meme Game Social Platform.,Zoe Lynch,CEO,Pre-Seed,Bay Area,,,,https://www.tryvariant.ai/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6824d26acaca2b604db6f6e0_Variant%20Zoe.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Julumuqi,AR/AI powered copilot for tabletop games.,Mark Wilhelm; Zoe Cohen,CEO; CTO,Pre-Seed,Bay Area,,,,https://www.julumuqi.games/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68bf0297591639e451827f8a_Julumuqi%20Mark.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/68bf02a7cbe0d9354be32699_Julumuqi%20Zoe.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
Groundfloor,"A members’ club rethought from the ground up, offering flexible workspace and more.",Jamie Snedden; Jermaine R Ijieh; Leutrim Rexhepi,CEO; CPO; CTO,Pre-Seed,Bay Area,,,,https://www.groundfloorclub.com,https://2048-ventures-7465.webflow.io/blog/our-investment-in-groundfloor,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24b784f08c3bb77e48d_4df0da79.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24b784f084e2e77e48c_8f87afa0.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/61aee24b784f08558e77e48e_5fd2ff9b.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
BioLM,Protein and DNA language models at scale.,Nikhil Haas; Ahmad Qamar,CEO; CTO,Pre-Seed,Bay Area,,,,https://biolm.ai/ui/home/,,https://cdn.prod.website-files.com/61959966f7800be4de555ae5/6410ce3c75988db9037c03ae_BioLM%20Nikhil.avif; https://cdn.prod.website-files.com/61959966f7800be4de555ae5/65d774de53c6c7714953c404_BioLM%20Ahmad.avif,https://www.2048.vc/companies,2026-06-29T12:44:35Z
